c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651,156,-27,6,96,1053,885,869,-885,2,6,0,0,0,0,0,50,2,-1588,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,-10,-1,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,307,86,-40,-75,997,1190,808,2716,-15,-1,-2,0,0,0,22,105,81,-1496,22,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,3,17,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,-95,73,47,-90,990,-1312,-228,-1983,-13,9,-2,0,0,0,115,83,44,-1364,115,1150,1150,1150,1150,0,0,0,0,0,0,0,0,1,1,-26,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,148,39,-44,136,979,457,-595,-701,7,4,0,0,0,0,274,68,50,-1236,274,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,-2,11,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,103,250,-36,-94,1025,-274,198,1556,-14,5,0,0,0,0,286,80,6,-1228,286,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,18,2,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,-141,187,65,3,1097,-885,-1083,-3204,5,22,-2,0,0,0,401,57,-22,-1160,401,1150,1150,1150,1150,0,0,0,0,0,0,0,0,1,2,-21,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,152,216,-52,85,948,946,1541,2471,13,10,-2,0,0,0,569,67,6,-1076,569,1150,1150,1150,1170,0,0,0,0,0,0,0,0,0,4,19,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,-164,348,18,-130,1062,-1556,-45,-152,-7,29,-2,0,0,0,870,76,11,-952,870,1203,1163,1150,1150,0,0,0,0,0,0,0,0,1,16,-18,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2051,64,165,52,128,1045,1251,-778,-1434,13,31,0,0,0,0,1300,101,10,-808,1300,1150,1150,1168,1153,0,0,0,0,0,0,0,0,0,-7,11,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102,146,542,-86,-42,940,213,1174,3997,-7,25,-4,0,0,0,1709,70,-10,-692,1709,1235,1195,1150,1150,0,0,0,0,0,0,0,-1,0,33,14,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
