80
94692 -1.953125 1.586914 -1.037598 0.166016 0.132812 0.813477
94749 -1.892090 1.647949 -1.037598 0.167480 0.126953 0.827148
94806 -1.892090 1.586914 -1.037598 0.163086 0.132324 0.828613
94863 -1.892090 1.586914 -1.037598 0.166992 0.133301 0.823730
94920 -1.892090 1.647949 -1.037598 0.164551 0.129883 0.804688
94977 -1.892090 1.525879 -1.037598 0.162598 0.132812 0.827148
95034 -1.892090 1.586914 -1.098633 0.162109 0.136719 0.816406
95091 -1.953125 1.586914 -1.037598 0.166016 0.128906 0.807129
95148 -1.892090 1.586914 -1.098633 0.163574 0.136719 0.821289
95205 -1.953125 1.647949 -0.976562 0.166504 0.135742 0.806641
95262 -1.892090 1.647949 -1.037598 0.161621 0.134277 0.827148
95319 -1.953125 1.647949 -1.037598 0.162109 0.141602 0.810547
95376 -1.953125 1.586914 -1.037598 0.162598 0.135742 0.819336
95433 -1.953125 1.586914 -1.037598 0.165039 0.133789 0.815430
95490 -1.953125 1.647949 -1.037598 0.157227 0.132812 0.828125
95547 -1.953125 1.586914 -1.098633 0.154297 0.135254 0.807617
95604 -1.953125 1.647949 -1.037598 0.165527 0.141602 0.827637
95661 -1.953125 1.647949 -0.976562 0.162109 0.133301 0.817383
95718 -1.892090 1.586914 -1.037598 0.166504 0.135254 0.802734
95775 -1.892090 1.586914 -1.098633 0.164062 0.136230 0.821289
95832 -1.892090 1.647949 -1.098633 0.169434 0.131348 0.822754
95888 -1.892090 1.647949 -1.037598 0.173340 0.142090 0.825195
95945 -1.892090 1.647949 -1.098633 0.165039 0.137695 0.817383
96002 -1.953125 1.647949 -1.037598 0.166504 0.138672 0.816895
96059 -1.892090 1.647949 -0.976562 0.157715 0.132812 0.834961
96116 -1.892090 1.647949 -1.098633 0.156738 0.137695 0.811523
96173 -1.892090 1.708984 -1.037598 0.164062 0.140137 0.820312
96230 -1.831055 1.647949 -1.037598 0.158691 0.137695 0.814453
96287 -1.892090 1.647949 -1.037598 0.169922 0.140625 0.814941
