63729 -1.892090 1.525879 -1.037598 0.121582 0.143555 0.825684 ␊
63746 -1.892090 1.525879 -1.098633 0.112305 0.146973 0.820801 ␊
63763 -1.892090 1.525879 -1.037598 0.117676 0.145996 0.816406 ␊
63780 -1.892090 1.586914 -1.037598 0.117676 0.149414 0.819336 ␊
63797 -1.892090 1.525879 -1.037598 0.113770 0.141113 0.819336 ␊
63814 -1.892090 1.525879 -1.037598 0.113770 0.141113 0.819336 ␊
63831 -1.892090 1.525879 -1.037598 0.113281 0.146973 0.816895 ␊
63848 -1.892090 1.464844 -1.037598 0.108398 0.144043 0.825195 ␊
63865 -1.953125 1.525879 -0.976562 0.118164 0.144531 0.829102 ␊
63882 -1.892090 1.464844 -0.976562 0.122559 0.144531 0.811035 ␊
63899 -1.892090 1.464844 -1.037598 0.111816 0.144043 0.819824 ␊
63916 -1.892090 1.464844 -1.037598 0.124023 0.141602 0.828125 ␊
63933 -1.953125 1.464844 -0.976562 0.124023 0.141602 0.828125 ␊
63950 -1.892090 1.464844 -0.976562 0.110840 0.152832 0.816406 ␊
63967 -1.953125 1.464844 -1.037598 0.114746 0.144043 0.812500 ␊
63984 -1.953125 1.464844 -0.976562 0.121582 0.154785 0.820801 ␊
64001 -1.892090 1.525879 -0.976562 0.116211 0.145508 0.816895 ␊
64018 -1.892090 1.525879 -1.037598 0.127930 0.146484 0.833008 ␊
64035 -1.892090 1.525879 -1.037598 0.127930 0.146484 0.833008 ␊
64053 -1.831055 1.464844 -1.098633 0.120605 0.134766 0.818359 ␊
64070 -1.892090 1.403809 -1.037598 0.122070 0.154297 0.834473 ␊
64087 -1.953125 1.525879 -1.037598 0.117676 0.146973 0.817871 ␊
64104 -1.953125 1.525879 -0.915527 0.122070 0.135254 0.811523 ␊
64121 -1.892090 1.525879 -0.976562 0.124512 0.148438 0.826172 ␊
64138 -1.892090 1.525879 -1.037598 0.112793 0.149902 0.816406 ␊
64155 -1.892090 1.525879 -1.037598 0.112793 0.149902 0.816406 ␊
64172 -1.831055 1.464844 -1.037598 0.118164 0.144531 0.828613 ␊
64189 -1.953125 1.464844 -1.037598 0.115723 0.141113 0.825195 ␊
64206 -1.892090 1.525879 -0.976562 0.128906 0.142578 0.819824 ␊
64223 -1.892090 1.525879 -0.976562 0.117676 0.132324 0.816406 ␊
64240 -1.892090 1.525879 -0.976562 0.121582 0.145020 0.809570 ␊
64257 -1.892090 1.525879 -0.976562 0.118164 0.144043 0.807129 ␊
64274 -1.892090 1.525879 -1.037598 0.118164 0.144043 0.807129 ␊
64291 -1.892090 1.525879 -1.037598 0.126465 0.151367 0.803223 ␊
64308 -1.892090 1.464844 -1.037598 0.115234 0.152832 0.817871 ␊
64325 -1.892090 1.464844 -1.037598 0.116211 0.143555 0.815918 ␊
64342 -1.892090 1.464844 -1.037598 0.116699 0.142578 0.820801 ␊
64359 -1.953125 1.525879 -1.037598 0.113281 0.142090 0.819336 ␊
64376 -1.953125 1.525879 -1.037598 0.113281 0.142090 0.819336 ␊
64393 -1.892090 1.525879 -0.976562 0.115723 0.144531 0.824219 ␊
64410 -1.892090 1.525879 -0.976562 0.118164 0.140137 0.815918 ␊
64427 -1.892090 1.464844 -0.976562 0.119629 0.143066 0.827148 ␊
64444 -1.892090 1.464844 -1.037598 0.117188 0.138672 0.823242 ␊
64461 -1.892090 1.525879 -0.976562 0.120117 0.145508 0.817871 ␊
64478 -1.892090 1.525879 -1.037598 0.116211 0.144043 0.825684 ␊
64495 -1.892090 1.525879 -1.037598 0.116211 0.144043 0.825684 ␊
64512 -1.953125 1.464844 -0.976562 0.116699 0.150391 0.815918 ␊
64529 -1.892090 1.464844 -1.037598 0.104492 0.143555 0.827148 ␊
64546 -1.831055 1.464844 -1.037598 0.120605 0.144043 0.821777 ␊
64563 -1.892090 1.525879 -1.037598 0.122559 0.145996 0.814941 ␊
64580 -1.892090 1.525879 -1.037598 0.109375 0.148438 0.819336 ␊
