c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
3276,49,-569,-157,-216,1208,765,8162,-6604,-25,-67,-2,0,0,601,11980,74,45,4,11980,1519,1477,1598,1601,0,0,0,0,0,0,0,116
3326,-132,-820,-75,-9,1199,8395,471,-5750,7,-76,2,-1,0,603,12060,61,27,11,12060,1536,1469,1593,1601,0,0,0,0,0,0,0,114
3376,-174,-887,123,-101,905,9677,10054,-4468,1,-69,0,-1,0,603,12060,49,-8,11,12060,1535,1488,1578,1604,0,0,0,0,0,0,0,117
3426,899,-154,156,46,929,20724,15425,-7764,-69,0,2,0,0,603,12060,62,90,11,12060,1575,1461,1634,1528,0,0,0,0,0,0,0,114
3476,1869,1515,-116,115,795,11569,21651,-9839,-153,114,-2,-1,0,602,12020,75,86,20,12140,1520,1482,1637,1569,0,0,0,0,0,0,0,122
3526,2334,2406,25,87,1143,-3262,9871,-8130,-241,195,2,-1,0,602,12020,115,144,7,12020,1520,1473,1625,1586,0,0,0,0,0,0,0,119
3576,1571,2785,-110,-136,1077,3390,-4899,-5933,-189,239,0,-7,0,603,12060,96,169,11,12060,1526,1426,1604,1634,0,0,0,0,0,0,0,123
3626,2479,2464,-186,-31,670,6991,-29618,-6055,-264,208,0,-8,0,603,12060,111,153,11,12060,1516,1417,1592,1659,0,0,0,0,0,0,0,123
3676,2340,963,134,22,1124,-1492,-18693,-11365,-175,312,0,6,41,604,12100,104,221,15,12100,1508,1476,1622,1597,0,0,0,0,0,0,0,123
3726,1866,385,-203,-136,822,7052,-28275,-3064,-239,458,2,-11,87,603,12060,110,172,11,12060,1533,1433,1567,1664,0,0,0,0,0,0,0,125
3776,2214,-878,157,-38,844,2536,-43717,-8191,-256,402,2,-11,88,604,12100,117,174,15,12100,1529,1518,1545,1618,0,0,0,0,0,0,0,124
3826,1972,-2526,-11,104,1166,-5276,-23881,-7947,-123,185,-4,9,80,605,12140,113,157,20,12140,1515,1489,1583,1620,0,0,0,0,0,0,0,126
3876,1400,-2321,68,-218,1264,11935,-9171,-2637,30,12,0,33,41,604,12100,110,114,15,12100,1544,1449,1605,1604,0,0,0,0,0,0,0,122
3926,1992,-1527,-238,-44,715,15841,1753,-3430,88,-162,2,53,1,604,12100,143,227,15,12100,1541,1478,1562,1624,0,0,0,0,0,0,0,122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4276,886,-243,-82,52,1141,-4849,14082,-5505,-69,-251,0,1,-43,638,13500,205,245,148,13458,1548,1487,1654,1644,0,0,0,0,0,0,0,123
4326,467,883,-136,-20,923,-19375,18416,-7092,-171,-220,2,-23,-55,637,13458,194,231,148,13458,1463,1554,1635,1671,-405,660,-78,128,-716,997,0,141
4376,-828,1064,162,-4,1052,-19009,7612,-7764,51,-207,0,-2,-62,636,13416,229,238,143,13416,1499,1535,1618,1676,-310,924,-71,211,-471,1158,0,139
4426,-1159,1122,95,72,971,2108,9260,-5750,-160,-278,0,-54,-76,636,13416,265,231,143,13416,1582,1432,1652,1651,-310,924,-82,245,-471,1158,0,139
4476,-457,1788,-166,-82,1141,-7534,20552,-6726,-277,-248,2,-61,-76,635,13374,259,255,148,13458,1515,1519,1670,1629,-310,924,-80,239,-471,1158,0,144
4526,-800,2485,-80,52,851,-24807,20613,-7825,-254,-149,2,-64,-70,636,13416,293,281,143,13416,1504,1528,1642,1660,-454,881,-133,258,-731,1279,0,143
4576,-1641,2601,51,13,1064,-24258,8955,-6970,-243,-46,0,-76,-55,635,13374,256,164,143,13416,1516,1511,1644,1657,-454,881,-116,225,-731,1279,0,142
4626,-2384,2401,-9,52,1143,-15347,8101,-6360,-170,-38,0,-76,-49,637,13458,309,246,148,13458,1521,1489,1666,1649,-454,881,-140,272,-731,1279,0,142
4676,-2571,2253,-24,-76,928,-12783,14754,-6848,-196,-49,-2,-82,-48,637,13458,340,308,152,13500,1527,1493,1671,1643,-454,881,-154,299,-731,1279,0,145
4726,-2466,2565,100,-62,837,-14431,12800,-5628,-216,-37,2,-84,-54,637,13458,303,322,148,13458,1508,1501,1661,1662,-454,881,-137,267,-731,1279,0,144
4776,-2327,3121,1,110,1026,-15225,5781,-6604,-196,-3,0,-81,-55,637,13458,347,355,148,13458,1523,1489,1654,1662,-1387,1006,-481,349,-1376,1105,122,146
4826,-2119,3004,-25,74,1029,-11990,4133,-5078,-220,-16,0,-82,-55,637,13458,364,378,148,13458,1513,1507,1655,1656,-1211,899,-441,327,-1165,971,112,146
4876,-2346,2670,12,-56,928,-10464,-2091,-4956,-102,30,2,-60,-41,636,13416,372,310,139,13374,1498,1507,1654,1662,-1366,626,-508,232,-1248,575,122,145
4926,-2261,1966,-7,-21,917,1681,3706,-6177,-156,88,2,-71,-16,637,13458,406,360,148,13458,1520,1479,1673,1649,-864,257,-351,104,-826,109,122,140
4976,-1750,1684,-7,-98,1149,-2651,-870,-9107,-63,121,0,-41,-5,636,13416,415,332,143,13416,1508,1522,1644,1655,-850,160,-352,66,-674,134,153,140
5026,-1551,1251,74,-172,1029,-5581,-12711,-6421,45,103,2,-14,-4,636,13416,406,351,143,13416,1520,1505,1642,1665,-827,-6,-336,-2,-597,-119,122,142
5076,-1279,468,-104,7,1005,7540,-7096,-2698,37,13,2,-16,-4,637,13458,430,363,143,13416,1540,1468,1653,1662,-753,-131,-323,-56,-591,-389,0,138
5126,-853,-95,-5,124,833,8212,-138,-6116,24,-23,0,-13,-2,638,13500,473,393,152,13500,1532,1494,1651,1651,-730,-341,-345,-161,-731,-541,163,139
5176,-724,-341,27,-185,1104,4733,3157,-4956,-9,-36,0,-11,-1,636,13416,474,353,143,13416,1532,1478,1656,1658,-793,-513,-376,-243,-825,-644,0,140
5226,-407,-141,-7,-120,882,7968,1814,-3980,-26,-17,2,-10,0,636,13416,488,325,143,13416,1536,1467,1667,1655,-793,-513,-387,-250,-825,-644,0,139
5276,230,572,-62,192,1153,8700,4255,-5200,-52,40,0,-10,0,636,13416,515,361,143,13416,1534,1490,1652,1651,-567,-810,-292,-417,-578,-1014,153,140
5326,851,882,-97,-41,1237,7052,-2763,-5811,-6,40,-2,13,-6,637,13458,536,364,148,13458,1492,1526,1621,1685,-609,-851,-326,-456,-504,-958,204,140
5376,512,74,150,-109,944,10897,-2946,-3796,97,-146,2,30,-34,636,13416,555,354,143,13416,1527,1489,1632,1678,-528,-923,-293,-512,-505,-1215,163,143
5426,815,-118,115,-26,986,18954,6148,-5322,82,-252,0,30,-50,636,13416,565,369,143,13416,1557,1455,1665,1649,-487,-1048,-275,-592,-638,-1399,204,144
5476,1550,451,-135,-15,928,17855,14387,-5628,21,-235,2,30,-50,637,13458,607,412,143,13416,1523,1471,1678,1649,-506,-1120,-307,-680,-659,-1278,204,146
5526,1772,1459,-192,-104,861,10348,6392,-4224,22,-129,-2,37,-46,637,13458,616,453,148,13458,1523,1478,1660,1661,-477,-1125,-294,-693,-453,-1252,204,148
5576,2330,1524,-69,196,701,9921,-5875,-4651,13,68,0,37,-11,636,13416,630,395,143,13416,1541,1441,1662,1672,-382,-1163,-241,-732,-249,-1311,183,143
5626,2211,1545,-55,-86,1017,10287,-8195,-5261,-43,132,0,31,0,637,13458,650,419,148,13458,1508,1469,1667,1677,-309,-1167,-201,-759,-109,-1193,173,145
5676,2030,917,5,-54,796,7540,-3312,-5628,3,80,2,37,0,636,13416,661,349,148,13458,1522,1448,1669,1678,-234,-922,-155,-609,-197,-1060,204,136
5726,2090,587,-154,247,1120,9494,-6242,-4590,14,37,0,34,0,604,12100,685,328,15,12100,1502,1427,1615,1643,-300,-1152,-205,-789,-212,-1247,193,141
5776,1837,437,-5,32,1055,7723,-6242,-4773,-3,34,-2,30,-1,604,12100,693,304,15,12100,1495,1425,1623,1645,-236,-1087,-164,-753,-97,-1074,244,139
5826,1416,490,0,-102,732,4550,-2030,-4956,-19,37,-2,23,-1,602,12020,705,318,7,12020,1481,1405,1657,1628,-167,-1017,-117,-717,-151,-995,255,139
5876,1285,470,-85,-42,1061,10470,1936,-4102,11,29,-2,25,0,602,12020,726,265,11,12060,1499,1388,1645,1642,-190,-939,-138,-682,-134,-990,224,139
5926,1232,431,57,-114,1047,3207,-7951,-4285,170,12,2,57,-6,601,11980,748,254,4,11980,1451,1456,1616,1659,-170,-820,-127,-614,-8,-776,244,137
5976,1209,202,0,-83,890,7113,-7035,-4590,255,-13,0,74,-6,602,12020,749,247,7,12020,1487,1429,1617,1648,-73,-838,-55,-628,-67,-1037,244,135
6026,1185,-237,8,-104,646,19076,-3068,-3552,287,-112,0,80,-18,602,12020,753,212,7,12020,1506,1398,1632,1638,-64,-814,-48,-613,-109,-1077,234,141
6076,1802,-416,58,-84,797,12728,1326,-2576,235,-159,0,80,-25,612,12423,769,174,11,12060,1452,1438,1631,1657,-133,-709,-102,-545,-216,-811,234,142
6126,1621,-299,-56,37,852,10409,4011,-3796,126,-195,2,52,-32,639,13543,785,163,155,13543,1537,1420,1632,1665,-253,-800,-199,-628,-351,-903,255,143
6176,2007,112,-142,49,854,12606,6453,-5444,-10,-222,0,31,-42,649,13970,780,149,155,13543,1536,1453,1658,1682,-233,-552,-182,-431,-368,-527,244,143
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6326,702,1492,-96,-77,1038,2474,838,-5505,527,-212,2,119,-67,650,14013,809,221,199,14013,1675,1244,1656,1710,-221,-406,-178,-328,-218,-522,255,143
6376,1528,1576,-69,18,1013,34274,6026,-4712,-192,-291,2,-14,-84,650,14013,831,233,199,14013,1561,1423,1679,1699,-162,-628,-135,-522,-285,-641,255,146
6426,2061,1702,-26,-91,764,-23587,15242,-5872,-279,-242,0,-14,-76,652,14100,831,257,208,14100,1472,1491,1698,1699,-236,-247,-196,-205,-494,290,244,147
6476,689,2677,-223,-11,1054,-13638,8955,-5811,-187,-139,0,-23,-70,654,14186,846,280,215,14186,1585,1404,1655,1728,-260,-242,-220,-205,-235,-176,255,148
6526,201,2195,108,37,1057,4122,-1664,-5139,-372,-65,0,-71,-54,654,14186,866,295,215,14186,1554,1445,1677,1713,-124,-192,-108,-166,-84,-109,255,143
6576,19,2064,-148,-25,1430,-22915,3157,-5750,-348,-100,-2,-67,-54,645,13798,881,365,179,13798,1443,1509,1681,1707,-130,-114,-115,-101,-127,466,255,147
6626,-1401,1835,87,-20,1002,-19863,4317,-4956,-189,-98,-2,-60,-53,644,13756,899,362,175,13756,1520,1435,1682,1703,-120,140,-108,125,-177,381,244,145
6676,-1787,1757,-142,-64,1015,-4360,3706,-4651,-156,-128,0,-61,-53,643,13713,909,353,168,13670,1546,1429,1675,1684,-81,36,-74,33,-45,189,255,141
6726,-1686,1630,27,65,1009,-15225,2669,-4041,-185,-20,-4,-67,-33,643,13713,907,306,172,13713,1493,1478,1668,1692,-41,-9,-37,-8,-39,274,255,139
6776,-2473,1663,-105,-137,1168,-15164,-2030,-4590,-129,-3,0,-66,-28,641,13628,919,285,163,13628,1514,1464,1648,1707,37,118,34,109,110,304,244,142
6826,-2671,1292,88,-117,879,-7901,-3190,-4407,-114,-5,-2,-67,-26,640,13585,932,275,159,13585,1516,1426,1693,1684,62,191,58,178,87,251,255,138
6876,-2469,1446,-79,83,1035,-10159,2669,-3247,-111,15,2,-67,-20,640,13585,940,267,155,13543,1508,1451,1672,1691,62,152,58,142,69,346,244,137
