5626,72,197,113,-74,1021,426,372,-1657,-13,25,-4,0,0,259,2224,92,71,-564,2224,1192,1227,1157,1166,0,0,0,0,0,0,0,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5676,126,112,-147,145,947,914,738,3530,8,-6,-4,0,0,259,2224,81,-35,-564,2224,1150,1175,1232,1265,0,0,0,0,0,0,0,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5726,-239,-139,37,-47,965,-1831,-2801,-2267,19,-3,-4,0,0,257,2190,55,-85,-572,2190,1275,1250,1179,1150,0,0,0,0,0,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5776,-116,23,63,-50,986,-183,-482,1882,5,12,-4,0,0,260,2242,101,57,-568,2207,1213,1188,1219,1210,0,0,0,0,0,0,0,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5826,-39,100,-35,-44,942,365,1593,4385,2,4,-2,0,0,260,2242,83,63,-560,2242,1150,1150,1274,1284,0,0,0,0,0,0,0,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5876,27,92,-38,-64,940,-1404,1531,-2938,-6,3,-2,0,0,261,2259,93,55,-560,2242,1189,1151,1244,1244,0,0,0,0,0,0,0,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5926,60,162,-35,-23,1017,-244,494,-5136,-7,21,-4,0,2,293,2847,93,67,-427,2847,1266,1251,1226,1227,0,0,0,0,0,0,0,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5976,-94,100,35,-95,993,-855,1165,-6845,1,15,0,0,0,331,3633,47,32,-276,3633,1324,1314,1234,1242,0,0,0,0,0,0,0,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6026,-181,27,3,-86,1035,243,2020,-3488,11,-1,-2,0,0,330,3612,55,2,-279,3612,1342,1333,1217,1202,0,0,0,0,0,0,0,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6076,-124,77,-5,61,1100,670,-787,-1596,20,10,-4,0,0,359,4274,49,-103,-195,4086,1341,1343,1277,1230,0,0,0,0,0,0,0,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6126,-50,-92,-14,18,948,-1831,-787,-1779,9,-9,-2,0,0,385,4916,63,-92,-60,4916,1406,1341,1188,1258,0,0,0,0,0,0,0,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6176,-83,-101,25,-47,1039,2562,1043,173,7,-3,-2,0,0,396,5201,64,-32,-7,5254,1368,1419,1306,1284,0,0,0,0,0,0,0,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6226,46,-229,23,7,1055,-3479,-4266,1211,-4,-16,-2,0,0,411,5602,90,32,0,5602,1404,1368,1285,1326,0,0,0,0,0,0,0,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6276,-143,-337,70,-55,765,-5188,-1947,1882,6,-19,-2,0,0,444,6538,107,54,0,6104,1425,1391,1367,1326,0,0,0,0,0,0,0,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6326,-66,-438,26,-7,1082,1464,3302,-1046,5,-34,0,0,0,458,6957,67,-90,0,6957,1427,1413,1408,1382,0,0,0,0,0,0,0,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6376,-195,-418,18,-38,1043,-5371,2691,2432,14,-36,-4,0,0,460,7018,67,-60,0,6957,1388,1451,1413,1376,0,0,0,0,0,0,0,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6426,-102,-133,-128,-11,1254,731,1715,-436,12,-22,-2,0,0,462,7079,75,1,0,7079,1445,1420,1382,1390,0,0,0,0,0,0,0,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6476,77,-315,31,-6,733,-2258,-3045,-2206,-8,-22,-4,0,0,479,7610,56,20,0,7326,1434,1424,1398,1422,0,0,0,0,0,0,0,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6526,67,-154,-11,44,909,-1343,3240,-680,-1,-16,0,0,0,498,8225,45,-94,0,8225,1430,1452,1455,1454,0,0,0,0,0,0,0,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6576,169,-553,26,80,529,-2869,-3472,-1473,0,-42,-2,0,0,512,8694,62,-41,0,8458,1466,1469,1424,1460,0,0,0,0,0,0,0,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6626,316,-206,-94,112,1015,1769,250,-619,-12,-27,-2,0,0,513,8728,43,-32,0,8728,1480,1461,1442,1464,0,0,0,0,0,0,0,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6676,219,-312,-46,61,1221,2318,-787,-1901,-9,-27,-4,0,0,527,9211,89,99,0,9176,1505,1494,1465,1437,0,0,0,0,0,0,0,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6726,245,-580,77,-118,1445,1952,3729,-2023,-36,-47,-4,-1,0,547,9924,110,24,0,9924,1477,1487,1490,1490,0,0,0,0,0,0,0,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6776,113,72,-96,-9,1177,-916,3240,-2938,-21,-3,-4,-2,0,566,10625,60,-47,0,10625,1516,1518,1502,1526,0,0,0,0,0,0,0,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6826,163,-264,-19,-49,1060,792,555,173,-25,-29,-4,-1,0,567,10663,168,182,0,10663,1498,1510,1531,1523,0,0,0,0,0,0,0,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
