4871⇥	-11.16␍␊
4891⇥	-13.41␍␊
4912⇥	-15.30␍␊
4932⇥	-16.83␍␊
4954⇥	-17.91␍␊
4974⇥	-18.54␍␊
4995⇥	-18.81␍␊
5015⇥	-18.63␍␊
5036⇥	-17.91␍␊
5056⇥	-16.83␍␊
5076⇥	-15.39␍␊
5097⇥	-13.50␍␊
5117⇥	-11.34␍␊
5139⇥	-8.91␍␊
5159⇥	-6.21␍␊
5180⇥	-3.42␍␊
5200⇥	-0.45␍␊
5221⇥	2.43␍␊
5241⇥	5.40␍␊
5262⇥	8.19␍␊
5282⇥	10.80␍␊
5303⇥	13.14␍␊
5323⇥	15.30␍␊
5345⇥	17.10␍␊
5365⇥	18.54␍␊
5386⇥	19.53␍␊
5406⇥	20.16␍␊
5427⇥	20.34␍␊
5447⇥	20.16␍␊
5468⇥	19.53␍␊
5488⇥	18.45␍␊
5509⇥	17.01␍␊
5529⇥	15.21␍␊
5551⇥	13.14␍␊
5571⇥	10.89␍␊
5592⇥	8.28␍␊
5612⇥	5.67␍␊
5633⇥	2.88␍␊
5653⇥	0.09␍␊
5673⇥	-2.61␍␊
5694⇥	-5.31␍␊
5714⇥	-7.74␍␊
5735⇥	-9.99␍␊
5755⇥	-11.97␍␊
5777⇥	-13.68␍␊
5797⇥	-15.03␍␊
5818⇥	-16.02␍␊
5838⇥	-16.56␍␊
5859⇥	-16.74␍␊
5879⇥	-16.47␍␊
5900⇥	-15.84␍␊
5920⇥	-14.85␍␊
5942⇥	-13.50␍␊
5962⇥	-11.79␍␊
5983⇥	-9.81␍␊
6003⇥	-7.56␍␊
6024⇥	-5.13␍␊
6044⇥	-2.61␍␊
6065⇥	0.00␍␊
6085⇥	2.70␍␊
6106⇥	5.22␍␊
6126⇥	7.74␍␊
6147⇥	10.08␍␊
6167⇥	12.15␍␊
6189⇥	14.04␍␊
6209⇥	15.66␍␊
6230⇥	16.83␍␊
6250⇥	17.73␍␊
6270⇥	18.27␍␊
6291⇥	18.36␍␊
6311⇥	18.09␍␊
6332⇥	17.46␍␊
6352⇥	16.47␍␊
6374⇥	15.12␍␊
6394⇥	13.50␍␊
6415⇥	11.61␍␊
6435⇥	9.54␍␊
6456⇥	7.20␍␊
6476⇥	4.77␍␊
6497⇥	2.34␍␊
6517⇥	-0.18␍␊
6538⇥	-2.61␍␊
6558⇥	-4.95␍␊
6579⇥	-7.11␍␊
6600⇥	-9.18␍␊
6621⇥	-10.89␍␊
6641⇥	-12.33␍␊
6662⇥	-13.50␍␊
6682⇥	-14.22␍␊
6703⇥	-14.67␍␊
6723⇥	-14.76␍␊
6744⇥	-14.49␍␊
6764⇥	-13.86␍␊
6786⇥	-12.87␍␊
6806⇥	-11.61␍␊
6827⇥	-9.99␍␊
6847⇥	-8.19␍␊
6867⇥	-6.12␍␊
6888⇥	-3.96␍␊
6908⇥	-1.62␍␊
6929⇥	0.72␍␊
6949⇥	3.06␍␊
6970⇥	5.31␍␊
6990⇥	7.56␍␊
7011⇥	9.63␍␊
7032⇥	11.43␍␊
7053⇥	13.05␍␊
7073⇥	14.40␍␊
7094⇥	15.39␍␊
7114⇥	16.11␍␊
7135⇥	16.56␍␊
7155⇥	16.56␍␊
7176⇥	16.29␍␊
7196⇥	15.57␍␊
7218⇥	14.58␍␊
7238⇥	13.32␍␊
7259⇥	11.79␍␊
7279⇥	10.08␍␊
7300⇥	8.10␍␊
7320⇥	6.03␍␊
7341⇥	3.87␍␊
7361⇥	1.62␍␊
7382⇥	-0.54␍␊
7402⇥	-2.79␍␊
7422⇥	-4.77␍␊
7444⇥	-6.75␍␊
7464⇥	-8.46␍␊
7485⇥	-9.90␍␊
7505⇥	-11.16␍␊
7526⇥	-12.06␍␊
7546⇥	-12.69␍␊
7567⇥	-12.96␍␊
7587⇥	-12.96␍␊
7608⇥	-12.60␍␊
7629⇥	-11.97␍␊
7650⇥	-10.98␍␊
7670⇥	-9.72␍␊
7691⇥	-8.28␍␊
7711⇥	-6.57␍␊
7732⇥	-4.77␍␊
7752⇥	-2.70␍␊
7773⇥	-0.63␍␊
7793⇥	1.44␍␊
7814⇥	3.51␍␊
7834⇥	5.58␍␊
7855⇥	7.47␍␊
7875⇥	9.27␍␊
7897⇥	10.80␍␊
7917⇥	12.15␍␊
7938⇥	13.32␍␊
7958⇥	14.13␍␊
7979⇥	14.67␍␊
7999⇥	14.85␍␊
8019⇥	14.85␍␊
8040⇥	14.40␍␊
8060⇥	13.77␍␊
8082⇥	12.78␍␊
8102⇥	11.61␍␊
8123⇥	10.17␍␊
8143⇥	8.46␍␊
8164⇥	6.75␍␊
8184⇥	4.86␍␊
8205⇥	2.88␍␊
8225⇥	0.90␍␊
8246⇥	-1.08␍␊
8266⇥	-2.97␍␊
8287⇥	-4.68␍␊
8308⇥	-6.39␍␊
