1000128 9.330317 ␊
1000141 10.485903 ␊
1000154 11.626049 ␊
1000167 12.476117 ␊
1000180 13.037167 ␊
1000194 13.586920 ␊
1000207 13.811613 ␊
1000220 13.768654 ␊
1000233 13.726566 ␊
1000247 13.358377 ␊
1000260 12.676338 ␊
1000273 12.007939 ␊
1000286 11.049996 ␊
1000299 9.809159 ␊
1000313 8.601545 ␊
1000326 7.150017 ␊
1000339 5.476689 ␊
1000352 3.835840 ␊
1000365 1.988294 ␊
1000378 -0.002382 ␊
1000391 -1.966839 ␊
1000405 -4.034708 ␊
1000418 -6.193214 ␊
1000431 -8.309626 ␊
1000444 -10.449523 ␊
1000458 -12.581862 ␊
1000471 -14.672453 ␊
1000484 -16.699701 ␊
1000498 -18.623470 ␊
1000511 -20.508762 ␊
1000524 -22.238352 ␊
1000538 -23.782572 ␊
1000551 -25.295172 ␊
1000564 -26.596338 ␊
1000577 -27.646629 ␊
1000591 -28.675568 ␊
1000604 -29.439131 ␊
1000617 -29.911301 ␊
1000631 -30.374025 ␊
1000644 -30.540976 ␊
1000657 -30.402855 ␊
1000671 -30.267496 ␊
1000684 -29.844542 ␊
1000697 -29.110317 ␊
1000711 -28.390947 ␊
1000724 -27.388899 ␊
1000737 -26.137293 ␊
1000750 -24.910160 ␊
1000764 -23.453131 ␊
1000777 -21.782047 ␊
1000790 -20.144386 ␊
1000804 -18.324659 ␊
1000817 -16.389502 ␊
1000830 -14.492907 ␊
1000844 -12.481276 ␊
1000857 -10.410338 ␊
1000870 -8.379504 ␊
1000883 -6.359451 ␊
1000897 -4.369290 ␊
1000910 -2.419073 ␊
1000923 -0.556340 ␊
1000936 1.329052 ␊
1000950 3.027490 ␊
1000963 4.554749 ␊
1000976 6.051681 ␊
1000989 7.363267 ␊
1001002 8.445065 ␊
1001015 9.505838 ␊
1001028 10.341019 ␊
1001042 10.902487 ␊
1001055 11.452574 ␊
1001068 11.726160 ␊
1001081 11.734615 ␊
1001094 11.742885 ␊
1001108 11.461423 ␊
1001121 10.908402 ␊
1001134 10.366229 ␊
1001147 9.538767 ␊
1001160 8.471363 ␊
1001174 7.425545 ␊
1001187 6.150210 ␊
1001200 4.670592 ␊
1001213 3.219913 ␊
1001226 1.571425 ␊
1001239 -0.210005 ␊
1001252 -1.966905 ␊
1001266 -3.814097 ␊
1001279 -5.756438 ␊
1001292 -7.660762 ␊
1001305 -9.597468 ␊
1001319 -11.522539 ␊
1001332 -13.419821 ␊
1001345 -15.263277 ␊
1001359 -17.014244 ␊
1001372 -18.729950 ␊
1001385 -20.328629 ␊
1001398 -21.753815 ␊
1001412 -23.150206 ␊
1001425 -24.360723 ␊
1001438 -25.342903 ␊
1001452 -26.305958 ␊
1001465 -27.034031 ␊
1001478 -27.492908 ␊
1001492 -27.942608 ␊
1001505 -28.112677 ␊
1001518 -28.032719 ␊
1001532 -27.954359 ␊
1001545 -27.602575 ␊
1001558 -26.971752 ␊
1001571 -26.353642 ␊
1001585 -25.489887 ␊
1001598 -24.401318 ␊
1001611 -23.334602 ␊
1001625 -22.044369 ␊
1001638 -20.561409 ␊
1001651 -19.108109 ␊
1001665 -17.488543 ␊
1001678 -15.748462 ␊
1001691 -14.043807 ␊
1001705 -12.249495 ␊
1001718 -10.391019 ␊
1001731 -8.570500 ␊
1001744 -6.759834 ␊
1001758 -4.966552 ␊
1001771 -3.210399 ␊
1001784 -1.532871 ␊
1001797 0.161460 ␊
1001810 1.691394 ␊
1001824 3.091696 ␊
1001837 4.478273 ␊
1001850 5.659644 ␊
1001863 6.656972 ␊
1001876 7.634213 ␊
1001889 8.392565 ␊
1001902 8.918592 ␊
1001915 9.434386 ␊
1001929 9.689646 ␊
1001942 9.707094 ␊
1001955 9.724190 ␊
1001968 9.485957 ␊
1001981 8.997811 ␊
1001994 8.519206 ␊
1002007 7.800683 ␊
1002021 6.848414 ␊
1002034 5.915750 ␊
1002047 4.768130 ␊
1002060 3.436298 ␊
1002073 2.131296 ␊
1002086 0.661361 ␊
1002099 -0.921461 ␊
1002113 -2.481972 ␊
1002126 -4.139454 ␊
1002139 -5.880860 ␊
1002152 -7.587065 ␊
1002165 -9.326967 ␊
1002179 -11.054989 ␊
1002192 -12.758927 ␊
1002205 -14.423819 ␊
1002219 -16.007217 ␊
1002232 -17.559713 ␊
1002245 -19.004728 ␊
1002259 -20.292141 ␊
1002272 -21.553806 ␊
1002285 -22.657661 ␊
1002298 -23.549425 ␊
1002312 -24.423294 ␊
1002325 -25.079123 ␊
1002338 -25.510798 ␊
1002352 -25.933840 ␊
1002365 -26.107018 ␊
1002378 -26.033306 ␊
1002392 -25.961010 ␊
1002405 -25.652956 ␊
1002418 -25.110691 ␊
1002432 -24.579315 ␊
1002445 -23.809576 ␊
1002458 -22.822386 ␊
1002471 -21.855379 ␊
1002485 -20.699217 ␊
1002498 -19.515657 ␊
1002511 -18.212982 ␊
1002525 -16.767488 ␊
1002538 -15.291385 ␊
1002551 -13.760414 ␊
1002565 -12.145463 ␊
1002578 -10.507401 ␊
1002591 -8.880162 ␊
1002604 -7.259201 ␊
1002618 -5.619268 ␊
1002631 -4.057301 ␊
1002644 -2.543489 ␊
1002657 -1.016745 ␊
1002671 0.370763 ␊
1002684 1.621527 ␊
1002697 2.847098 ␊
1002710 3.915907 ␊
1002723 4.811954 ␊
1002736 5.689641 ␊
1002749 6.378876 ␊
1002762 6.847827 ␊
1002776 7.307209 ␊
1002789 7.541520 ␊
1002802 7.560744 ␊
1002815 7.579591 ␊
1002828 7.364501 ␊
1002841 6.926416 ␊
1002854 6.497058 ␊
1002868 5.833057 ␊
1002881 4.983458 ␊
1002894 4.150344 ␊
1002907 3.125156 ␊
1002920 1.940275 ␊
1002933 0.779267 ␊
1002946 -0.529992 ␊
1002960 -1.965017 ␊
1002973 -3.370616 ␊
1002986 -4.871816 ␊
1002999 -6.452920 ␊
1003012 -8.001959 ␊
1003026 -9.564021 ␊
1003039 -11.107594 ␊
1003052 -12.629554 ␊
1003066 -14.117874 ␊
1003079 -15.531604 ␊
1003092 -16.916962 ␊
1003105 -18.199366 ␊
1003119 -19.354826 ␊
1003132 -20.487177 ␊
1003145 -21.450888 ␊
