c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3926,-440,1823,-116,-11,1133,-1609,1203,-7355,13,161,-4,-4,2,615,12545,55,65,60,12545,1552,1515,1612,1592,687,557,37,30,659,557,0,144,23,34,-41,144
637,13458,74,100,148,13458,1517,1476,1675,1657,687,557,50,41,659,557,0,134,74,38,-39,146,,,,,,,,,,,,,,
4026,-773,1090,-28,-24,1038,2296,-7158,-2899,50,107,-2,-3,2,635,13374,89,161,139,13374,1545,1502,1660,1632,687,557,61,49,659,557,0,86,38,39,-40,144
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4176,-392,-278,28,-181,1180,4555,-2520,-6256,122,-10,-4,20,2,636,13416,83,165,148,13458,1541,1542,1642,1616,687,557,57,46,659,557,0,-25,8,33,-44,145
4226,219,-137,-34,305,1120,16151,-3496,-3388,269,-3,-2,50,2,636,13416,121,2225,143,13416,1573,1527,1611,1635,687,557,83,67,659,557,0,-16,85,31,-43,147
639,13543,125,15313,152,13500,1575,1500,1616,1651,687,557,85,69,659,557,0,266,333,-24,-115,152,,,,,,,,,,,,,,
4326,1660,-685,40,107,1019,19569,-15032,-5341,290,-39,-4,83,2,637,13458,147,-1184,148,13458,1587,1528,1606,1626,687,557,101,81,659,557,0,280,352,-20,-105,154
4376,2004,-364,-153,-117,1155,11635,-1421,-4120,235,-34,-6,83,2,638,13500,165,-3025,152,13500,1552,1517,1652,1621,687,557,113,92,659,557,0,357,304,-13,-94,155
4426,2104,-452,-145,22,1042,10963,-2581,-4608,81,-39,-2,52,2,659,557,0,362,327,-4,6,2,636,13416,19235,227,0,-78,150,,,,,,,
45458,220,-1494,148,13150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4576,851,38,-26637,13458,231,-1078,152,13500,1545,1514,1631,1651,687,557,158,128,659,557,0,444,266,14,-67,150,,,,,,,,,,,
4626,376,-393,-99,-76,942,-11375,-689,-4608,-109,-38,-2,-12,1,637,13458,211,-645,139,13374,1541,1520,1635,1636,687,557,145,117,659,557,0,440,227,19,-63,152
4676,-79,-94,77,217,1083,-20408,9137,-4974,-159,-1,-4,-35,0,636,13416,243,-748,152,13500,1526,1531,1657,1627,469,604,113,146,224,899,0,409,230,28,-58,150
4726,-901,723,97,-56,1015,-23215,5902,-4669,-113,43,-4,-35,-5,638,13500,478,-408,152,13500,1521,1519,1648,1643,469,604,224,288,224,899,0,408,248,33,-55,152
4776,-1702,1342,-103,-20,743,-19126,-2276,-4974,-44,81,-6,-37,-4,636,13416,252,-295,148,13458,1525,1505,1656,1647,901,-82,227,-20,882,189,0,387,185,38,-44,155
4826,-2163,967,95,-125,1080,-11802,714,-4974,137,59,-4,-7,-6,637,13458,288,-299,148,13458,1505,1523,1651,1657,-253,28,-73,8,-257,154,122,348,144,43,-39,152
