c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903000,-109,-128,-76,-136,1169,94,1455,4514,9,-4,2,0,79,0,0,61,-28,-1600,0,1150000,1151000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950000,-203,5,22,39,907,-2102,1333,-2626,14,3,4,-39,39,0,0,34,-77,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003000,211,-250,-3,6,1104,1010,722,1584,-18,-21,2,0,0,0,0,37,-45,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050000,-61,67,-72,-89,952,-88,-681,3720,5,9,2,0,39,0,0,53,-1,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103000,180,-198,154,117,963,2841,-3305,-2871,-12,-17,2,39,0,0,0,60,1161000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150000,29,-112,-129,-59,1061,-271,1027,6345,-2,-9,0,0,0,0,0,69,-34,-1600,0,1178000,1180000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203000,5,-32,125,120,960,216,-131,-4702,0,0,0,0,7,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250000,165,-394,-28,-63,908,-820,844,3842,-14,-34,2,0,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303000,-149,171,-36,-2,1195,-637,783,-1955,13,14,4,0,0,0,0,51,26,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350000,157,-206,135,70,915,704,-1535,-1650,-13,-14,0,0,39,0,0,58,38,-1600,0,1150000,1150000,1150000,1150000,1403000,-6,230,-172,-78,1182,704,905,2683,0,20,4,0,0,0,0,61,0,-1600,0,1150000,1150000,1150000,1151450000,180,-29,120,66,981,-332,-253,-3603,-15,-2,2,0,0,0,0,38,-32,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
