1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550000,-289,-232,44,-84,71603000,-112,-163,57,-61,1181,-4515,-5676,6334,9,-10,-6,0,40,560,10401,70,-34,0,10401,1528000,1575000,1443000,1481650000,-1063,-1452,352,-218,447,-1951,-6592,2611,92,-116,-4,0,119,571,10814,48,-2,0,10814,1503000,1570000,1451000,1552000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703000,-655,-1344,-6,-73,628,-3782,-5859,6883,60,-110,-4,40,80,573,10890,52,22,0,10890,1554000,1583000,1424000,1517000,0,0,0,1750000,-939,-1695,105,-204,925,-6163,-1587,2977,85,-140,-4,40,80,574,10928,60,-12,0,10928,1495000,1589000,1465000,153,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803000,-1023,-1512,-340,16,1434,-1524,5248,169,89,-125,-4,0,80,592,11624,11520000,1562000,1539000,1546000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850000,-754,-1371,-41,184,1328,3297,5858,-8436,65,-109,-10,0,119,601,11980,82,18,4,11980,1489000,1480000,1620000,160101903000,-1685,-1385,79,-23,930,7569,-2442,-1478,147,-103,-4,0,200,599,11900,53,-33,0,11900,1547000,1533000,1544000,1581950000,-1176,-1254,-46,-179,975,-3172,-366,-3614,99,-102,-4,-39,80,604,12100,58,-73,15,12100,1490000,1558000,1566000,1598000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003000,-918,-932,-18,174,1053,9522,3417,-4835,73,-74,-6,-79,80,612,12423,87,78,47,12423,1535000,1510000,1598000,1600000,0,0,0,2050000,-553,-1421,11,-54,1043,7081,3722,-3797,44,-120,-6,-39,40,639,13543,61,-62,155,13543,1543000,1540000,1593000,1612103000,39,-1181,152,18,983,5616,6041,-5201,-3,-99,-4,0,40,639,13543,74,95,155,13543,1550000,1541000,1626000,1629000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2150000,613,-814,-30,150,1208,9583,3539,-5079,-74,-46,-2,-239,279,639,13543,23000,1627000,1630000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203000,904,-180,-131,-18,1273,24720,8178,-4468,-82,26,-4,-39,479,638,13500,106,86,152,13500,1608000,1480000,1636000,1616000,0,2250000,1225,-97,171,-109,822,14832,3234,-11854,-106,57,-4,0,760,638,13500,139,142,152,13500,1513000,1470000,1659000,1682303000,1422,160,79,-345,1294,18189,-6409,-4224,-124,108,-6,0,1079,638,13500,127,143,152,13500,1598000,1486000,1610000,164,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2350000,1876,-122,159,-122,921,17274,19347,-7642,-163,170,-4,0,2080,638,13500,222,228,152,13500,1582000,1448000,1710000,1584000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2403000,2202,983,94,32,1137,1893,12816,-7032,-195,358,-2,-39,3119,638,13500,170,249,152,13500,1543000,1500000,1683000,1607000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450000,2155,1452,5,-13,1000,-2012,-5249,-5567,-278,611,-2,-1039,5560,638,13500,111,237,2503000,1551,572,170,4,904,-22520,-36560,-8619,-254,570,-2,-1359,5960,638,13500,202,278,152,13500,1485000,1529000,1631000,1687000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
