1750000,-415,442,-407,-251,1034,-4092,5787,13480,32,42,0,-39,39,0,0,46,-4,-1600,0,1236000,1325000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803000,233,489,399,203,974,6771,-6724,-14961,-23,42,-4,-39,0,0,0,59,-28,-1600,0,1150000,1150000,1241000,1358000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850000,-531,892,-359,-168,925,-3421,6153,11100,42,81,0,-39,39,0,0,69,-13,-1600,0,1204000,1294000,1150000,1150000,1903000,74,239,186,-11,1051,790,-4649,-1045,-13,24,-2,-79,39,0,0,69,1,-1600,0,1150000,1150000,1150000,1157000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950000,-133,923,-144,42,896,729,2125,419,8,84,-2,-39,39,0,0,104,17,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003000,-60,212,-58,-19,1162,-64,-621,2433,-1,22,0,-79,39,0,0,54,-34,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050000,96,931,-60,-10,1056,729,1392,-252,-11,84,0,-39,39,0,0,89,38,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2103000,-178,-37,6,-40,1053,-674,-804,907,12,-3,-4,-39,0,0,0,71,-28,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2150000,124,731,-188,61,1020,-125,1514,1578,-14,67,0,-39,39,0,0,71,-23,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203000,-257,-198,128,-58,1044,-1528,-1719,-1228,22,-17,0,0,0,0,0,70,35,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250000,-13,461,-272,37,866,607,782,4752,-5,40,-2,-79,0,0,0,80,41,-1600,0,1157000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2303000,-11,-223,332,-60,921,57,-3428,-3425,-5,-16,-2,-79,39,0,0,56,10,-1600,0,1150000,1150000,1150000,1193000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2350000,-192,-107,-213,8,930,-430,599,4935,16,-9,0,0,0,0,0,68,23,-1600,0,1150000,1167000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2403000,-12,203,205,-23,1031,119,-1414,-3975,-5,21,-4,-79,39,0,0,56,-21,-1600,0,1150000,1150000,1150000,1151000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
