c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36
45826,-223,-687,-92,-104,1014,7001,-5252,-555,75,-64,-2,12,0,223,1649,436,-748,-708,16805,1594,1526,1714,1687,2164,2026,943,883,2293,1977,0,1082,1033,-103,-82,159
45876,310,-1104,-104,12,1018,1325,1156,-6,37,-102,0,12,1,224,1664,378,-785,-704,14969,1536,1567,1687,1687,2164,2026,818,765,2293,1977,0,1036,982,-100,-79,154
45926,454,-689,230,66,1289,2118,912,-677,25,-36,4,11,1,223,1649,318,-783,-708,12395,1494,1476,1652,1645,2164,2026,688,644,2293,1977,0,919,884,-98,-77,150
45976,-89,-667,142,-194,1091,-3130,-13613,-1837,44,-36,0,11,0,223,1649,313,-739,-704,15085,1563,1482,1637,1707,2164,2026,677,634,2293,1977,0,902,854,-95,-75,157
46026,-356,-1041,-50,77,1009,8710,-11904,-2325,113,-92,-2,13,0,224,1664,284,-751,-704,16854,1673,1619,1761,1764,2164,2026,614,575,2293,1977,0,830,818,-93,-72,158
46076,568,-1243,33,146,791,10297,-1345,-4339,35,-105,-2,12,0,223,1649,215,-667,-704,11296,1512,1445,1645,1636,2164,2026,465,435,2293,1977,0,717,717,-90,-69,156
46126,989,-933,82,54,1218,5353,-4153,1153,-18,-63,-2,12,2,224,1664,211,-667,-704,16570,1412,1400,1566,1580,2164,2026,456,427,2293,1977,0,620,677,-88,-66,153
46176,1042,-850,194,80,996,5902,-4641,-2569,-19,-47,0,12,1,224,1664,172,-625,-704,10875,1450,1406,1522,1593,2164,2026,372,348,2293,1977,0,550,560,-86,-63,154
46226,1142,-1035,-92,130,1013,2667,-13858,-311,-24,-88,-2,12,1,223,1649,139,-683,-708,14155,1538,1506,1563,1641,2164,2026,300,281,2293,1977,0,480,540,-84,-61,158
46276,779,-2084,97,-8,883,-505,-9036,177,-4,-166,-2,13,0,224,1664,143,-619,-704,13093,1515,1491,1576,1608,2164,2026,309,289,2293,1977,0,438,486,-82,-58,152
46326,805,-2387,-8,92,830,-872,-8975,2069,5,-202,-2,13,1,225,1679,109,-578,-700,9339,1455,1445,1542,1590,2164,2026,235,220,2293,1977,0,355,455,-80,-55,151
46426,-3846,-2354,61,-795,2007,-31145,-76113,26116,391,-165,,,,,,,,,,,,,,,,,,,,,,,,,
