IMU,SETUP,COMPLETED,,,,,,,,,,,,,,,,,,,,,,,,
12001000,5000,10000,0,186,-1032,-27654,999,-9,1,0,1147000,1136000,1144000,1134000,1499000,1498000,1141000,1495000,1998000,998000,0,0,0,0,0,0
12201000,5000,10000,0,535,-698,-27653,999,-6,4,0,1139000,1148000,1141000,1139000,1497000,1499000,1142000,1496000,1999000,997000,0,0,0,0,0,0
12401000,5000,10000,0,-11,-1201,-27647,999,-10,0,0,1128000,1161000,1137000,1137000,1498000,1498000,1141000,1496000,1998000,997000,0,0,0,0,0,0
12601000,5000,10000,0,-1018,-1972,-27638,999,-17,-8,0,1123000,1153000,1144000,1145000,1498000,1498000,1142000,1496000,1998000,997000,0,0,0,0,0,0
12801000,5000,10000,0,-867,-1914,-27643,999,-16,-7,0,1146000,1144000,1144000,1136000,1499000,1498000,1143000,1496000,1998000,997000,0,0,0,0,0,0
13001000,5000,10000,0,-11,-1043,-27660,999,-9,0,0,1150000,1140000,1148000,1128000,1499000,1498000,1142000,1496000,1999000,998000,0,0,0,0,0,0
13201000,5000,10000,0,512,-584,-27666,999,-5,4,0,1138000,1149000,1146000,1133000,1498000,1499000,1142000,1496000,1999000,997000,0,0,0,0,0,0
13401000,5000,10000,0,-38,-1133,-27664,999,-9,0,0,1129000,1157000,1143000,1137000,1497000,1498000,1142000,1496000,1998000,997000,0,0,0,0,0,0
13601000,5000,10000,0,-568,-1494,-27671,999,-13,-4,0,1133000,1144000,1144000,1141000,1497000,1499000,1141000,1496000,1998000,997000,0,0,0,0,0,0
13801000,5000,10000,0,-163,-1060,-27660,999,-9,-1,0,1145000,1138000,1141000,1138000,1499000,1498000,1141000,1495000,1998000,998000,0,0,0,0,0,0
14001000,5000,10000,0,492,-554,-27676,999,-4,4,0,1147000,1141000,1140000,1133000,1498000,1498000,1141000,1496000,1999000,998000,0,0,0,0,0,0
14201000,5000,10000,0,665,-433,-27680,999,-3,5,0,1140000,1141000,1146000,1135000,1498000,1499000,1141000,1496000,1999000,997000,0,0,0,0,0,0
14401000,5000,10000,0,227,-797,-27665,999,-6,1,0,1131000,1153000,1144000,1138000,1498000,1498000,1142000,1496000,1998000,997000,0,0,0,0,0,0
14601000,5000,10000,0,-471,-1350,-27668,999,-11,-4,0,1130000,1157000,1144000,1135000,1499000,1498000,1142000,1496000,1998000,997000,0,0,0,0,0,0
14801000,5000,10000,0,-638,-1480,-27674,999,-12,-5,0,1138000,1141000,1142000,1141000,1499000,1498000,1141000,1495000,1998000,998000,0,0,0,0,0,0
15001000,5000,10000,0,-159,-999,-27668,999,-8,-1,0,1141000,1136000,1142000,1143000,1498000,1498000,1141000,1496000,1999000,998000,0,0,0,0,0,0
15201000,5000,10000,0,19,-853,-27675,999,-7,0,0,1138000,1153000,1139000,1136000,1498000,1499000,1142000,1496000,1998000,997000,0,0,0,0,0,0
15401000,5000,10000,0,-268,-1272,-27682,999,-11,-2,0,1135000,1153000,1140000,1138000,1498000,1498000,1142000,1496000,1998000,997000,0,0,0,0,0,0
15601000,5000,10000,0,-448,-1275,-27667,999,-11,-3,0,1136000,1146000,1145000,1139000,1498000,1499000,1142000,1496000,1998000,997000,0,0,0,0,0,0
