[17:06:15:584] HHello Junta. Starting Potato Controller now␊
[17:06:18:459] imu.begin()-IMU comm & initialize completed ␊
[17:06:18:925] imu.dmpBegin() suceeded␊
[17:06:21:927] IMU SETUP COMPLETED␊
[17:06:22:929] Motor starting Now␊
[17:06:39:331] 0.130786 0.107055 -27.223135 1503.000000 1503.000000 1504.000000 1504.000000 0.243902 0.304878 0.304878 ␊
[17:06:39:532] 0.032993 -0.147387 -27.218954 1454.000000 1454.000000 1555.000000 1555.000000 -0.121951 0.243902 -0.000000 ␊
[17:06:39:731] -0.044436 -0.096646 -27.226767 1452.000000 1452.000000 1553.000000 1553.000000 -0.182927 0.121951 0.243902 ␊
[17:06:39:931] -0.094907 -0.065150 -27.232412 1451.000000 1451.000000 1550.000000 1550.000000 0.000000 0.060976 0.121951 ␊
[17:06:40:131] -0.278452 -0.135821 -27.234507 1338.000000 1338.000000 1439.000000 1439.000000 -0.060976 0.243902 -0.121951 ␊
[17:06:40:331] -0.259483 -0.091333 -27.239737 1443.000000 1443.000000 1542.000000 1542.000000 -0.060976 0.060976 -0.121951 ␊
[17:06:40:531] -0.102014 0.128007 -27.238232 1479.000000 1479.000000 1578.000000 1578.000000 -0.121951 0.121951 0.182927 ␊
[17:06:40:731] 0.051816 0.060795 -27.242435 1479.000000 1479.000000 1580.000000 1580.000000 0.000000 -0.000000 -0.000000 ␊
[17:06:40:931] 0.164665 0.043737 -27.243677 1489.000000 1489.000000 1590.000000 1590.000000 -0.182927 0.121951 0.060976 ␊
[17:06:41:131] 0.144086 0.007370 -27.238708 1539.000000 1539.000000 1538.000000 1538.000000 -0.182927 -0.060976 -0.304878 ␊
[17:06:41:331] 0.146331 -0.146593 -27.239113 1538.000000 1538.000000 1539.000000 1539.000000 -0.304878 -0.060976 -0.000000 ␊
[17:06:41:531] -0.073692 -0.050227 -27.235291 1538.000000 1538.000000 1537.000000 1537.000000 0.000000 0.548781 -0.000000 ␊
[17:06:41:731] -0.033356 -0.064343 -27.241095 1538.000000 1538.000000 1539.000000 1539.000000 -0.304878 -0.000000 0.365854 ␊
[17:06:41:931] -0.100061 -0.085948 -27.241131 1538.000000 1538.000000 1539.000000 1539.000000 0.426829 0.243902 -0.000000 ␊
[17:06:42:132] -0.236357 -0.042891 -27.239611 1549.000000 1549.000000 1536.000000 1536.000000 -0.914634 -1.280488 -2.743902 ␊
[17:06:42:332] -0.239961 -0.095149 -27.305622 1535.000000 1535.000000 1546.000000 1546.000000 -1.097561 -1.219512 -0.243902 ␊
[17:06:42:532] -0.258273 -0.113704 -27.272921 1520.000000 1520.000000 1567.000000 1567.000000 0.609756 1.341463 2.621951 ␊
[17:06:42:732] -0.269119 -0.223335 -27.239237 1696.000000 1696.000000 1800.000000 1800.000000 -2.743902 -2.500000 1.707317 ␊
[17:06:42:932] -0.397528 -0.050897 -27.225443 1645.000000 1645.000000 1748.000000 1748.000000 0.487805 0.975610 0.548781 ␊
[17:06:43:131] -0.632523 -0.061355 -27.223434 1549.000000 1549.000000 1650.000000 1650.000000 0.182927 0.487805 -0.243902 ␊
[17:06:43:331] -0.748149 0.036674 -27.220634 1435.000000 1435.000000 1534.000000 1534.000000 0.121951 0.304878 -0.426829 ␊
[17:06:43:531] -0.598364 -0.158368 -27.218899 1481.000000 1481.000000 1488.000000 1488.000000 -0.304878 -0.000000 0.243902 ␊
[17:06:43:731] -0.431019 -0.238812 -27.214172 1485.000000 1485.000000 1484.000000 1484.000000 -0.304878 0.060976 -0.060976 ␊
[17:06:43:931] -0.569008 -0.196627 -27.208490 1485.000000 1485.000000 1482.000000 1482.000000 -0.365854 -0.487805 -0.365854 ␊
[17:06:44:131] -0.838711 -0.156883 -27.196177 1484.000000 1484.000000 1483.000000 1483.000000 0.000000 -0.000000 -0.426829 ␊
[17:06:44:332] -0.858108 -0.298827 -27.200512 1507.000000 1507.000000 1504.000000 1504.000000 0.548781 0.365854 -0.792683 ␊
[17:06:44:532] -0.849422 -0.235394 -27.231382 1510.000000 1510.000000 1529.000000 1529.000000 0.121951 -0.060976 -0.000000 ␊
[17:06:44:732] -0.805670 -0.477541 -27.227030 1442.000000 1442.000000 1549.000000 1549.000000 0.609756 0.670732 0.548781 ␊
[17:06:44:932] -0.588248 -0.383285 -27.221117 1430.000000 1430.000000 1537.000000 1537.000000 0.000000 0.182927 0.914634 ␊
[17:06:45:132] -0.678365 -0.241083 -27.211252 1432.000000 1432.000000 1535.000000 1535.000000 -0.365854 -0.060976 0.670732 ␊
[17:06:45:331] -0.330904 -0.258512 -27.189947 1434.000000 1434.000000 1533.000000 1533.000000 -0.182927 -0.000000 -0.121951 ␊
[17:06:45:531] -0.447337 -0.342346 -27.195314 1436.000000 1436.000000 1535.000000 1535.000000 0.243902 0.548781 -0.365854 ␊
[17:06:45:731] -0.454995 -0.351184 -27.191582 1435.000000 1435.000000 1534.000000 1534.000000 0.243902 0.304878 -0.243902 ␊
[17:06:45:931] -0.488360 -0.291727 -27.193558 1434.000000 1434.000000 1535.000000 1535.000000 -0.121951 0.182927 0.365854 ␊
[17:06:46:131] -0.913740 -0.570971 -27.184023 1433.000000 1433.000000 1536.000000 1536.000000 0.060976 0.426829 0.365854 ␊
[17:06:46:331] -0.963234 -0.836797 -27.176548 1434.000000 1434.000000 1537.000000 1537.000000 -0.182927 -0.182927 0.243902 ␊
[17:06:46:532] -0.668711 -0.572521 -27.176664 1434.000000 1434.000000 1535.000000 1535.000000 -0.304878 -0.121951 0.060976 ␊
