
1388079 <0xf4>081 -3.329399 
1428963 -4.525598 
1428976 -4.534097 
1428989 -4.542428 
1429003 -4.547919 
1429016 -4.552286 
1429029 -4.556565 
1429042 -4.559783 
1429056 -4.572985 
1429069 -4.585923 
1429082 -4.583421 
1429095 -4.579216 
1429108 -4.575095 
1429122 -4.574304 
1429135 -4.570135 
1429148 -4.566049 
1429161 -4.570949 
1429175 -4.559436 
1429188 -4.548153 
1429201 -4.542051 
1429214 -4.544145 
1429227 -4.547777 
1429241 -4.539282 
1429254 -4.531219 
1429267 -4.524108 
1429280 -4.518760 
1429294 -4.513517 
1429307 -4.514478 
1429320 -4.511613 
1429333 -4.508806 
1429346 -4.507537 
1429360 -4.497579 
1429373 -4.487817 
1429386 -4.475868 
1429399 -4.472159 
1429413 -4.468524 
1429426 -4.474327 
1429439 -4.478521 
1429452 -4.482632 
1429465 -4.490853 
1429479 -4.498810 
1429492 -4.506608 
1429505 -4.507936 
1429518 -4.511227 
1429532 -4.514451 
1429545 -4.518522 
1429558 -4.512269 
1429571 -4.506141 
1429584 -4.502588 
1429598 -4.490061 
1429611 -4.477786 
1429624 -4.466977 
1429637 -4.452009 
1429651 -4.437344 
1429664 -4.418046 
1429677 -4.421078 
1429690 -4.424048 
1429703 -4.444733 
1429717 -4.473242 
1429730 -4.501186 
1429743 -4.604305 
1429756 -4.736157 
1429770 -4.865341 
1429783 -5.073792 
1429796 -5.321924 
1429809 -5.564947 
1429822 -5.848067 
1429836 -6.170439 
1429849 -6.486219 
1429862 -6.846134 
1429875 -7.256226 
1429889 -7.658031 
1429902 -8.055645 
1429915 -8.450717 
1429928 -8.839411 
1429941 -9.242581 
1429955 -9.668019 
1429968 -10.073092 
1429981 -10.448925 
1429994 -10.822559 
1430008 -11.159215 
1430021 -11.480901 
1430034 -11.798815 
1430048 -12.068887 
1430061 -12.280825 
1430074 -12.488601 
1430088 -12.651615 
1430101 -12.761410 
1430114 -12.869009 
1430128 -12.927583 
1430141 -12.929696 
1430154 -12.931767 
1430168 -12.878217 
1430181 -12.761492 
1430194 -12.647032 
1430207 -12.480360 
1430221 -12.262205 
1430234 -12.048429 
1430247 -11.788756 
1430261 -11.493059 
1430274 -11.203107 
1430287 -10.876840 
1430301 -10.530287 
1430314 -10.190691 
1430327 -9.838534 
1430340 -9.465407 
1430354 -9.099638 
1430367 -8.737996 
1430380 -8.383171 
1430393 -8.035468 
1430407 -7.687388 
1430420 -7.371673 
1430433 -7.062294 
1430446 -6.778409 
1430459 -6.534889 
1430473 -6.296257 
1430486 -6.097130 
1430499 -5.939609 
1430512 -5.785165 
1430526 -5.684458 
1430539 -5.626281 
1430552 -5.569251 
1430565 -5.568128 
1430578 -5.617921 
1430592 -5.666715 
1430605 -5.762170 
1430618 -5.898819 
1430631 -6.032813 
