11476	21.51
11498	23.58
11518	25.38
11539	26.73
11559	27.72
11580	28.35
11600	28.53
11622	28.26
11642	27.54
11663	26.46
11683	24.93
11704	23.13
11724	20.97
11746	18.63
11766	16.02
11787	13.32
11807	10.53
11828	7.74
11848	4.95
11869	2.34
11890	-0.18
11911	-2.43
11931	-4.41
11952	-6.03
11972	-7.38
11993	-8.28
12013	-8.82
12034	-8.91
12054	-8.64
12076	-8.01
12096	-6.93
12116	-5.49
12137	-3.69
12157	-1.71
12178	0.63
12198	3.06
12219	5.67
12240	8.28
12261	10.98
12281	13.59
12302	16.11
12322	18.45
12343	20.61
12363	22.41
12385	24.03
12405	25.20
12426	26.10
12446	26.55
12467	26.64
12487	26.28
12509	25.65
12529	24.57
12550	23.13
12570	21.51
12591	19.53
12611	17.28
12633	14.94
12653	12.51
12674	9.90
12694	7.38
12715	4.95
12735	2.52
12755	0.36
12777	-1.71
12797	-3.42
12818	-4.86
12838	-5.94
12859	-6.75
12879	-7.11
12900	-7.20
12920	-6.84
12941	-6.12
12962	-5.13
12983	-3.69
13003	-2.07
13024	-0.18
13044	1.89
13065	4.14
13085	6.48
13106	8.91
13126	11.34
13148	13.68
13168	15.93
13189	18.00
13209	19.89
13230	21.51
13250	22.86
13272	23.85
13292	24.48
13313	24.84
13333	24.84
13353	24.48
13374	23.76
13395	22.68
13416	21.42
13436	19.80
13457	17.91
13477	15.93
13498	13.77
13519	11.52
13540	9.18
13560	6.93
13581	4.77
13601	2.61
13622	0.72
13642	-0.99
13663	-2.52
13684	-3.69
13705	-4.68
13725	-5.22
13746	-5.49
13766	-5.40
13787	-5.04
13807	-4.32
13828	-3.24
13848	-1.98
13870	-0.45
13890	1.35
13911	3.24
13931	5.31
13952	7.47
13972	9.63
13992	11.79
14013	13.86
14034	15.84
14055	17.64
14075	19.26
14096	20.61
14116	21.69
14137	22.50
14157	23.04
14179	23.22
14199	23.13
14220	22.68
14240	21.96
14261	20.97
14281	19.62
14303	18.18
14323	16.47
14344	14.58
14364	12.60
14385	10.53
14405	8.55
14427	6.48
14447	4.50
14468	2.70
14488	1.08
14509	-0.45
14529	-1.71
14550	-2.70
14570	-3.42
14590	-3.78
14612	-3.96
14632	-3.78
14653	-3.33
14673	-2.52
14694	-1.53
14714	-0.27
14735	1.17
14755	2.79
14776	4.59
14797	6.48
14818	8.37
14838	10.26
14859	12.24
14879	14.04
14900	15.75
14920	17.28
14942	18.63
14962	19.80
14983	20.70
15003	21.33
15024	21.60
15044	21.69
15066	21.51
15086	20.97
15107	20.25
15127	19.17
15148	18.00
15168	16.56
15188	14.94
15210	13.23
15230	11.52
15251	9.63
15271	7.83
15292	6.03
15312	4.32
15333	2.79
15354	1.35
15375	0.09
15395	-0.90
15416	-1.71
15436	-2.16
15457	-2.43
15477	-2.43
15498	-2.16
15518	-1.62
15540	-0.90
15560	0.09
15581	1.35
15601	2.70
15622	4.23
15642	5.85
15663	7.56
15683	9.27
15705	10.98
15725	12.60
15746	14.22
15766	15.66
15787	16.92
15807	18.09
15827	18.99
15849	19.62
15869	20.07
15890	20.25
15910	20.25
15931	19.89
15951	19.35
15973	18.54
15993	17.55
16014	16.38
16034	15.03
16055	13.59
16075	12.06
16096	10.44
16117	8.82
16138	7.20
16158	5.67
16179	4.23
16199	2.88
16220	1.71
16240	0.72
16261	-0.09
16281	-0.63
16303	-0.99
16323	-1.08
16344	-0.99
16364	-0.63
16385	-0.09
16405	0.72
16425	1.71
16446	2.88
16466	4.14
16487	5.49
16508	7.02
16529	8.46
16549	9.99
16570	11.52
16590	12.96
16611	14.31
16631	15.48
16653	16.56
16673	17.46
16694	18.18
16714	18.63
16735	18.90
16755	18.99
16776	18.81
16797	18.36
16818	17.82
16838	17.01
16859	16.02
16879	14.94
16900	13.68
16921	12.33
16942	10.89
16962	9.45
16983	8.10
17003	6.66
17024	5.40
17044	4.14
17064	3.06
17086	2.07
17106	1.35
17127	0.72
17147	0.36
17168	0.18
17188	0.18
17209	0.36
17229	0.81
17250	1.44
17271	2.25
17292	3.24
17312	4.32
17333	5.49
17353	6.75
17374	8.01
17394	9.36
17415	10.71
17435	11.97
17457	13.23
17477	14.31
17498	15.30
17518	16.20
17539	16.83
17559	17.37
17581	17.64
17601	17.73
17622	17.73
17642	17.37
17662	16.92
17683	16.29
17704	15.48
17725	14.58
17745	13.50
17766	12.33
17786	11.16
17807	9.90
17827	8.64
17849	7.47
17869	6.30
17890	5.13
17910	4.14
17931	3.24
17951	2.52
17972	1.98
17992	1.53
18013	1.35
18034	1.26
18055	1.44
18075	1.71
18096	2.25
18116	2.88
18137	3.69
18157	4.59
18178	5.58
18198	6.66
18219	7.83
18240	9.00
18260	10.17
18281	11.25
18301	12.33
18322	13.32
18342	14.22
18364	15.03
18384	15.66
18405	16.20
18425	16.47
18446	16.65
18466	16.65
18487	16.47
18508	16.11
18529	15.57
18549	14.94
18570	14.13
18590	13.23
18611	12.24
18632	11.25
18653	10.17
18673	9.09
18694	8.01
18714	6.93
18735	5.94
18755	5.04
18776	4.23
18797	3.60
18818	3.06
18838	2.70
18859	2.43
18879	2.34
18899	2.43
18920	2.70
18940	3.06
18961	3.60
18982	4.23
19003	5.04
19023	5.85
19044	6.75
19064	7.74
19085	8.73
19105	9.81
19126	10.80
19147	11.70
19168	12.60
19188	13.41
19209	14.13
19229	14.67
19250	15.12
19270	15.39
19292	15.57
19312	15.66
19333	15.48
19353	15.21
19374	14.76
19394	14.22
19416	13.59
19436	12.87
19457	12.06
19477	11.16
19497	10.17
19518	9.27
19538	8.37
19560	7.47
19580	6.57
19601	5.76
19621	5.13
19642	4.50
19662	4.05
19683	3.69
19703	3.42
19724	3.33
19745	3.33
19766	3.51
19786	3.87
19807	4.32
19827	4.86
19848	5.49
19868	6.21
19889	7.02
19909	7.83
19931	8.73
19951	9.54
19972	10.44
19992	11.25
20013	12.06
20033	12.69
20054	13.32
20075	13.86
20096	14.22
20116	14.58
20136	14.67
20157	14.76
20177	14.67
20198	14.40
20219	14.13
20240	13.68
20260	13.05
20281	12.42
20301	11.79
20322	10.98
20343	10.26
20364	9.45
20384	8.64
20405	7.83
20425	7.11
20446	6.39
20466	5.85
20487	5.31
20508	4.86
20529	4.50
20549	4.32
20570	4.23
20590	4.23
20611	4.41
20631	4.68
20652	4.95
20672	5.49
20694	6.03
20714	6.57
20734	7.29
20755	8.01
20775	8.73
20796	9.45
