,,,,,,,,
6549000,-46,-14,-21,-1,1008,-632,765,649
6601000,-70,-93,-6,-14,1044,466,-272,-327
6649000,-72,-24,-5,7,969,527,-699,161
6701000,-43,-24,0,-2,989,-388,1009,-815
6749000,-30,-42,2,5,1030,-449,521,1015
6801000,-5,-61,-8,-11,984,588,-150,-998
6849000,-87,-45,-9,-7,1049,343,-28,893
6901000,-83,-33,7,6,1067,-327,-455,-876
6949000,-25,-64,15,1,1065,710,-1492,1076
7001000,-62,-38,9,7,1073,282,-272,-754
7049000,7,-79,17,0,964,-937,-28,588
7101000,26,-79,3,-2,1008,466,32,-449
7149000,-30,-99,8,-19,1074,893,-1431,161
7201000,-23,-80,7,27,949,-632,1131,-1181
7249000,12,-84,16,3,1016,-144,704,-266
7301000,-2,-95,1,-10,1103,1076,-1187,649
7349000,-51,-81,-12,-3,1048,-83,-882,-510
7401000,42,-68,15,7,1077,-83,-455,832
7449000,46,-30,-1,6,1008,160,-1065,-1242
7501000,-14,-71,-7,-6,995,-22,-28,1259
7549000,63,-126,20,-28,921,-510,1070,-1364
7601000,133,4,-19,-31,1142,710,521,2053
7649000,97,-141,-2,-12,1053,-632,-1431,-2402
7701000,-148,-196,-2,-17,935,-1120,-1554,4067
7749000,-150,-89,-34,29,1109,-205,1314,-2829
7801000,-86,-229,-5,14,1130,1015,-1431,2541
7849000,-70,-105,-23,18,952,-205,-211,-510
7901000,-72,-115,2,0,1002,-388,154,-1669
7949000,-9,-207,-1,5,1056,527,460,954
8001000,-114,-266,-10,-13,1008,588,399,-510
8049000,-222,-185,21,-7,996,-144,-943,1198
8101000,-91,-77,-18,7,1059,160,582,-1547
8149000,-32,-108,-6,12,997,405,154,2053
8201000,24,-162,0,-8,1013,-510,948,-1669
8249000,-112,-126,8,-5,1043,282,-1309,1992
8301000,-128,-67,-4,10,1072,832,-638,-1303
8349000,-51,-22,0,4,1013,38,-516,1686
8401000,-31,-32,-13,-14,1058,-754,216,-1547
8449000,-94,-82,-5,-1,1007,99,-1126,1931
8501000,-100,-38,1,-8,996,466,-89,-1975
8549000,-101,-16,0,-5,1020,282,-211,1198
8601000,-79,39,0,7,993,-510,277,-1425
8649000,-107,-13,-1,15,1048,99,93,283
8701000,-67,-25,11,-1,1062,282,-577,-266
8749000,-56,-24,-3,2,944,-144,-272,-754
8801000,-106,-27,-1,4,1050,-22,-1554,710
8849000,-54,-53,0,3,987,-266,93,-1303
8901000,42,38,4,15,876,-1303,643,2602
8949000,-82,82,-80,-17,1000,-205,3145,-4965
9001000,-88,-13,-30,3,958,282,399,5165
9049000,-71,199,26,23,1237,-510,-455,-2951
9101000,-184,244,22,11,992,588,-699,-815
9149000,-54,134,-3,18,982,588,216,344
9201000,-4,87,-20,3,1020,405,93,-1364
9249000,4,72,20,8,1027,832,-455,1015
9301000,-43,103,3,-7,980,-693,-28,-1181
9349000,-34,90,-13,-15,1017,-632,582,100
9401000,20,81,-16,16,999,893,1009,161
9449000,2,6,0,-2,1049,-266,-760,466
9501000,-59,64,-1,-7,1026,-693,32,-998
9549000,-61,55,-4,3,1003,282,32,649
9601000,-66,53,3,3,996,99,93,-266
9649000,-94,7,3,5,1001,-22,-211,-327
9701000,-71,12,12,0,999,-144,-272,-83
9749000,-76,-8,0,-9,1020,-22,93,-998
9801000,-120,13,4,10,1012,221,-211,1747
9849000,-61,-3,-1,0,1022,160,216,-2097
9901000,-74,-45,-4,2,1065,160,-333,1870
9949000,-59,-95,-8,-18,1032,-144,154,-1425
10001000,-80,-82,13,21,1028,282,-150,2663
10049000,-48,14,10,7,1033,-205,582,-1120
10101000,-78,-38,-11,-6,1011,-144,521,1442
10149000,-47,-29,4,-10,1031,-22,460,-998
